text,policy_area
"To amend the Internal Revenue Code of 1986 to provide for
		  adjustments in the individual income tax rates to reflect regional differences
		  in the cost-of-living.",Taxation
"Expressing disapproval by the House of
		  Representatives of the totalization agreement between the United States and
		  Mexico signed by the Commissioner of Social Security and the Director General
		  of the Mexican Social Security Institute on June 29, 2004.",Taxation
To amend the Internal Revenue Code of 1986 to eliminate the taxable income limit on percentage depletion for oil and natural gas produced from marginal properties.,Taxation
To amend the Internal Revenue Code of 1986 to provide a tax credit for taxpayers who remove lead-based hazards.,Taxation
"To amend the Internal Revenue Code of 1986 to allow deductions and credits relating to expenditures
			 in connection with marijuana sales conducted in compliance with State law.",Taxation
To amend the Internal Revenue Code of 1986 to provide a credit for fuel-efficient motor vehicles and to require major integrated oil companies to amortize intangible drilling and development costs.,Taxation
"To amend the Internal Revenue Code of 1986 to provide
		  temporary housing related tax relief for individuals, and for other
		  purposes.",Taxation
"To amend the Internal Revenue Code of 1986
		  to include vaccines against seasonal influenza within the definition of taxable
		  vaccines.",Taxation
"To amend the Internal Revenue Code of 1986

		  to clarify the calculation of the reserve allowance for medical benefits of

		  plans sponsored by bona fide associations.",Taxation
"To reinstate the taxation of foreign oil related income, and for other purposes.",Taxation
To amend the Internal Revenue Code of 1986 to allow certain taxpayers a 2-year carryback of net operating losses and to restore and make permanent the limitation on excess business losses of non-corporate taxpayers.,Taxation
To amend the Internal Revenue Code of 1986 to deny the exemption from income tax for social clubs found to be practicing prohibited discrimination.,Taxation
To amend the Internal Revenue Code of 1986 to repeal the depreciation adjustments required in computing alternative minimum taxable income.,Taxation
"Proposing an amendment to the Constitution
		  of the United States to repeal the sixteenth article of
		  amendment.",Taxation
"To amend the Internal Revenue Code of 1986 to exclude payments received under the Work Colleges
			 Program from gross income, including payments made from institutional
			 funds.",Taxation
"To amend the Internal Revenue Code of 1986 to provide a credit to employers for certain employee
			 education and training expenses.",Taxation
To amend the Internal Revenue Code of 1986 to provide a tax credit to ensure that businesses are properly cleaned and disinfected when stay-at-home restrictions are lifted and to help prevent further infections.,Taxation
"To amend the Internal Revenue Code of 1986 to exclude certain compensation received by public
			 safety officers and their dependents from gross income.",Taxation
"To amend the Internal Revenue Code of 1986 to ensure that kombucha is exempt from any excise taxes
			 and regulations imposed on alcoholic beverages.",Taxation
"To amend the Internal Revenue Code of 1986 to improve access to health care through modernized
			 health savings accounts.",Taxation
"To provide tax relief with respect to the Hurricane Isaac
		  disaster area.",Taxation
"To amend the Internal Revenue Code of 1986

		  to repeal the percentage depletion allowance for certain hardrock mines, and

		  for other purposes.",Taxation
"To amend the Internal Revenue Code of 1986 to extend the
		  enhanced charitable deduction for corporate contributions of computer inventory
		  for educational purposes.",Taxation
"To amend the Internal Revenue Code of 1986 to create a refundable tax credit for travel expenditures, and for other purposes.",Taxation
To amend the Internal Revenue Code of 1986 to modify the tax treatment of certain equity grants.,Taxation
To amend the Internal Revenue Code of 1986 to provide incentives for the conservation of water.,Taxation
To amend the Internal Revenue Code of 1986 to provide recruitment and retention incentives for volunteer emergency service workers.,Taxation
To amend the Internal Revenue Code of 1986 to provide tax incentives for the donation of wild game meat.,Taxation
"To restrict any State or local jurisdiction from imposing
		  a new discriminatory tax on mobile wireless communications services, providers,
		  or property.",Taxation
To amend the Internal Revenue Code of 1986 to enhance the research credit for domestic manufacturers.,Taxation
"To amend the Internal Revenue Code of 1986 to increase
		  the credit for employers establishing workplace child care facilities, to
		  increase the child care credit to encourage greater use of quality child care
		  services, to provide incentives for students to earn child care-related degrees
		  and to work in child care facilities, and to increase the exclusion for
		  employer-provided dependent care assistance.",Taxation
"To amend the Internal Revenue Code of 1986 to treat
		  certain payments made to the European Union in lieu of income taxes to a member
		  of the European Union as income taxes paid to a foreign country for purposes of
		  the foreign tax credit.",Taxation
"To amend the Internal Revenue Code of 1986 to expand health savings accounts, and for other
			 purposes.",Taxation
To amend the Internal Revenue Code of 1986 to repeal the limitations on the maximum amount of the deduction of interest on education loans.,Taxation
To amend the Internal Revenue Code of 1986 to provide that qualified homeowner downpayment assistance is a charitable purpose.,Taxation
"To amend the Internal Revenue Code of 1986 to exclude
		  from gross income compensation received by employees consisting of qualified
		  distributions of employer stock.",Taxation
"To amend the Internal Revenue Code of 1986 to provide for an investment tax credit related to the
			 production of electricity from offshore wind.",Taxation
